active,company_id,reconcile,code,id,child_consol_ids,tax_ids,currency_id,name,note,parent_id:id,currency_mode,user_type,type
VERDADERO,Demo AVION,,0,avion_1,,,,AVION,,,current,View,view
VERDADERO,Demo AVION,,1*,avion_2,,,,ACTIVO,,avion_1,current,View,view
VERDADERO,Demo AVION,,11*,avion_3,,,,ACTIVO CORRIENTE,,avion_2,current,View,view
VERDADERO,Demo AVION,,1101*,avion_4,,,,DISPONIBILIDADES,,avion_3,current,View,view
VERDADERO,Demo AVION,,110101*,avion_5,,,,CAJA,,avion_4,current,View,view
VERDADERO,Demo AVION,,110101001,avion_6,,,,Caja Moneda Argentina,,avion_5,current,Cash,other
VERDADERO,Demo AVION,,110102*,avion_7,,,,BANCOS,,avion_4,current,View,view
VERDADERO,Demo AVION,,110102001,avion_8,,,,Banco Macro Cta. Cte.,,avion_7,current,Cash,other
VERDADERO,Demo AVION,,110102002,avion_9,,,,Banco Nacion Cta. Cte.,,avion_7,current,Cash,other
VERDADERO,Demo AVION,,110102003,avion_10,,,,Banco Patagonia Cta. Cte.,,avion_7,current,Cash,other
VERDADERO,Demo AVION,,1102*,avion_11,,,,CREDITOS POR VENTA,,avion_3,current,View,view
VERDADERO,Demo AVION,,110201*,avion_12,,,,DEUDORES POR VENTA,,avion_11,current,View,view
VERDADERO,Demo AVION,VERDADERO,11020100333,avion_13,,,,CARINA NICOLAIDES,,avion_12,current,Receivable,receivable
VERDADERO,Demo AVION,,110201001,avion_87,,,,Deudores por Ventas Comunes,,avion_12,current,Cash,other
VERDADERO,Demo AVION,VERDADERO,11020100100,avion_88,,,,SIN MOVIMIENTOS,,avion_12,current,Cash,receivable
VERDADERO,Demo AVION,,110201002,avion_89,,,,Cheques en Cartera,,avion_12,current,Cash,other
VERDADERO,Demo AVION,,110201003,avion_90,,,,Cheques Rechazados,,avion_12,current,Cash,other
VERDADERO,Demo AVION,,11020100101,avion_91,,,,VICTOR HUGO CLAVIJO,,avion_12,current,Receivable,receivable
VERDADERO,Demo AVION,,110202*,avion_305,,,,OTROS DEUDORES POR VENTAS,,avion_11,current,View,view
VERDADERO,Demo AVION,,110202001,avion_306,,,,Ds. por Vta. en Gestion Judic.,,avion_305,current,Receivable,receivable
VERDADERO,Demo AVION,,1103*,avion_307,,,,OTROS CREDITOS CORRIENTES,,avion_3,current,View,view
